course_name,intake,course_code,lower_bound,upper_bound,school_name,polytechnic,citizen_fee,pr_fee,foreigner_fee,scholarship
Integrated Facility Management,100,T28,14,20,School of Engineering,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers]}]"
Mechatronics,50,T66,11,16,School of Engineering,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers]}]"
Early Childhood Development & Education,260,T68,5,20,School of Humanities & Social Sciences,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Psychology Studies,75,T48,3,8,School of Humanities & Social Sciences,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Social Sciences in Gerontology,50,T53,10,14,School of Humanities & Social Sciences,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Applied Artificial Intelligence,50,T69,5,12,School of Informatics & IT,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{CSIT Diploma Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary]},{Singtel Cyber Security Scholarship Program:[First and second-year students, Min CPGA 3.0]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Big Data & Analytics,50,T60,6,12,School of Informatics & IT,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{CSIT Diploma Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary]},{Singtel Cyber Security Scholarship Program:[First and second-year students, Min CPGA 3.0]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Common ICT Programme,195,T63,4,16,School of Informatics & IT,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{CSIT Diploma Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary]},{Singtel Cyber Security Scholarship Program:[First and second-year students, Min CPGA 3.0]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Cybersecurity & Digital Forensics,150,T62,4,12,School of Informatics & IT,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{CSIT Diploma Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary]},{Singtel Cyber Security Scholarship Program:[First and second-year students, Min CPGA 3.0]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Game Design & Development,50,T58,9,14,School of Informatics & IT,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{CSIT Diploma Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary]},{Singtel Cyber Security Scholarship Program:[First and second-year students, Min CPGA 3.0]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Information Technology,100,T30,5,16,School of Informatics & IT,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{CSIT Diploma Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary]},{Singtel Cyber Security Scholarship Program:[First and second-year students, Min CPGA 3.0]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Apparel Design & Merchandising,70,T20,6,11,School of Design,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Communication Design,95,T59,6,15,School of Design,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Digital Film & Television,75,T23,5,14,School of Design,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Interior Architecture & Design,75,T22,8,14,School of Design,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Product & Industrial Design,50,T35,9,17,School of Design,TP,2041.6,6241.6,11464.1,"[{Temasek Polytechnic Scholarship:[Year 1 students,full time student, ranked top 5% in diploma cohort or cGPA >= 3.50, cannot concurrently hold another scholarship or bursary ]},{Temasek Polytechnic Foundation Programme Scholarship:[Outstanding ELMAB3* at GCE N-Level examinations,Good character and conduct, Not financially sponsored by employers ]}]"
Applied Chemistry,100,S64,5,9,Applied Sciences,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Biomedical Science,100,S98,3,7,Applied Sciences,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Chemical Engineering,120,S70,5,13,Applied Sciences,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Common Science Programme,0,S28,0,0,Applied Sciences,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Food Science & Technology,105,S47,5,13,Applied Sciences,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Perfumery & Cosmetic Science,50,S38,5,11,Applied Sciences,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Architecture,95,S66,5,13,Bulit Environment,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Civil Engineering,120,S68,7,20,Bulit Environment,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Facilities Management,75,S95,11,19,Bulit Environment,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Integrated Events & Project Management,100,S50,5,16,Bulit Environment,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Landscape Architecture,40,S94,8,15,Bulit Environment,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Accountancy,100,S75,3,12,Business Management,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Banking & Finance,80,S76,6,12,Business Management,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Business Administration,120,S71,4,12,Business Management,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Common Business Programme,205,S31,4,12,Business Management,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Human Resource Management with Psychology,100,S48,5,12,Business Management,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Aeronautical Engineering,180,S88,5,17,Engineering,SP,3076.79,6306.79,11531.39,"[{SP Engineering Scholarship:[Singapore Citizens or Singapore Permanent Residents,  top 5% of their diploma course cohort after their year 1 Semester 1 examinations, Have good co-curricular activities records in secondary school]},{DSTA Polytechnic Scholarship:[Singapore citizen,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, Good CCA track records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Aerospace Electronics,90,S90,7,13,Engineering,SP,3076.79,6306.79,11531.39,"[{SP Engineering Scholarship:[Singapore Citizens or Singapore Permanent Residents,  top 5% of their diploma course cohort after their year 1 Semester 1 examinations, Have good co-curricular activities records in secondary school]},{DSTA Polytechnic Scholarship:[Singapore citizen,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, Good CCA track records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Common Engineering Programme,340,S40,7,17,Engineering,SP,3076.79,6306.79,11531.39,"[{SP Engineering Scholarship:[Singapore Citizens or Singapore Permanent Residents,  top 5% of their diploma course cohort after their year 1 Semester 1 examinations, Have good co-curricular activities records in secondary school]},{DSTA Polytechnic Scholarship:[Singapore citizen,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, Good CCA track records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Computer Engineering,215,S53,3,12,Engineering,SP,3076.79,6306.79,11531.39,"[{SP Engineering Scholarship:[Singapore Citizens or Singapore Permanent Residents,  top 5% of their diploma course cohort after their year 1 Semester 1 examinations, Have good co-curricular activities records in secondary school]},{DSTA Polytechnic Scholarship:[Singapore citizen,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, Good CCA track records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Electrical & Electronic Engineering,220,S99,6,17,Engineering,SP,3076.79,6306.79,11531.39,"[{SP Engineering Scholarship:[Singapore Citizens or Singapore Permanent Residents,  top 5% of their diploma course cohort after their year 1 Semester 1 examinations, Have good co-curricular activities records in secondary school]},{DSTA Polytechnic Scholarship:[Singapore citizen,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, Good CCA track records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Engineering with Business,60,S42,5,11,Engineering,SP,3076.79,6306.79,11531.39,"[{SP Engineering Scholarship:[Singapore Citizens or Singapore Permanent Residents,  top 5% of their diploma course cohort after their year 1 Semester 1 examinations, Have good co-curricular activities records in secondary school]},{DSTA Polytechnic Scholarship:[Singapore citizen,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, Good CCA track records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Mechanical Engineering,180,S91,4,17,Engineering,SP,3076.79,6306.79,11531.39,"[{SP Engineering Scholarship:[Singapore Citizens or Singapore Permanent Residents,  top 5% of their diploma course cohort after their year 1 Semester 1 examinations, Have good co-curricular activities records in secondary school]},{DSTA Polytechnic Scholarship:[Singapore citizen,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, Good CCA track records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Mechatronics & Robotics,75,S73,5,13,Engineering,SP,3076.79,6306.79,11531.39,"[{SP Engineering Scholarship:[Singapore Citizens or Singapore Permanent Residents,  top 5% of their diploma course cohort after their year 1 Semester 1 examinations, Have good co-curricular activities records in secondary school]},{DSTA Polytechnic Scholarship:[Singapore citizen,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, Good CCA track records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of <= 10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Optometry,60,S67,6,12,Health Sciences,SP,3076.79,6306.79,11531.39,
Applied AI & Analytics,80,S30,3,8,Information & Digital Technologies,SP,3076.79,6306.79,11531.39,"[{IMDA Infocomm Polytechnic Scholarship:[singapore Citizens, Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, excellent Co-Curricular Activities (CCA) record, ]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Common ICT Programme,165,S32,3,13,Information & Digital Technologies,SP,3076.79,6306.79,11531.39,"[{IMDA Infocomm Polytechnic Scholarship:[singapore Citizens, Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, excellent Co-Curricular Activities (CCA) record, ]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Infocomm Security Management,120,S54,4,11,Information & Digital Technologies,SP,3076.79,6306.79,11531.39,"[{IMDA Infocomm Polytechnic Scholarship:[singapore Citizens, Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, excellent Co-Curricular Activities (CCA) record, ]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Information Technology,160,S69,4,14,Information & Digital Technologies,SP,3076.79,6306.79,11531.39,"[{IMDA Infocomm Polytechnic Scholarship:[singapore Citizens, Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, excellent Co-Curricular Activities (CCA) record, ]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Marine Engineering,115,S63,7,22,Maritime Studies,SP,3076.79,6306.79,11531.39,"[{GAC Singapore - MaritimeONE Scholarship:[Singaporeans and Singapore PRs,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, Excellent CCA records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Maritime Business,120,S74,7,18,Maritime Studies,SP,3076.79,6306.79,11531.39,"[{GAC Singapore - MaritimeONE Scholarship:[Singaporeans and Singapore PRs,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, Excellent CCA records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Nautical Studies,40,DNS,0,0,Maritime Studies,SP,3076.79,6306.79,11531.39,"[{GAC Singapore - MaritimeONE Scholarship:[Singaporeans and Singapore PRs,  Net score of <=10 points (ELR2B2) in the GCE ‘O’ Level Exam, Excellent CCA records]},{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Interior Design,60,S89,4,14,Media & Design,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Media Arts & Design,414,S29,4,12,Media & Design,SP,3076.79,6306.79,11531.39,"[{Zalora Scholarship:[Not be a ZALORA employee or the immediate family member of a ZALORA employee,  Net score of ≤10 points (ELR2B2) in the GCE ‘O’ Level Exam, good co-curricular activities records]}]"
Diploma in Accountancy,135,N51,4,11,School of Business & Accountancy,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Diploma in Banking & Finance,75,N53,4,11,School of Business & Accountancy,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Diploma in Business Studies,150,N45,4,9,School of Business & Accountancy,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Common Business Programme,220,N97,4,12,School of Business & Accountancy,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Diploma in International Trade & Business,75,N85,6,12,School of Business & Accountancy,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Diploma in Tourism & Resort Management,50,N72,5,13,School of Business & Accountancy,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Diploma in Design,75,N12,6,14,School of Design & Environment,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Diploma in Hotel & Leisure Facilities Management,95,N40,11,17,School of Design & Environment,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Diploma in Real Estate Business,70,N48,9,15,School of Design & Environment,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Diploma in Aerospace Engineering,100,N65,3,16,School of Engineering,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Diploma in Automation & Mechatronic Systems,55,N50,7,20,School of Engineering,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Diploma in Biomedical Engineering,60,N60,4,12,School of Engineering,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
Common Engineering Programme,350,N71,3,19,School of Engineering,NP,3000,6200,11400,"[{Polytechnic Foundation Programme Study Award:[ELR2B2 <= 10 in the GCE 'N' Level exams, Strong leadership qualities and potential, Scholarship recipients (for awards that cover tuition fee only) are now allowed to hold a government-funded bursary concurrently.]},{Donor Scholarship:[open to students who have excelled in and have passion for their respective fields, and participated actively in CCAs. The criteria for each award is set by individual donor.]},{NP Scholarship:[NP Scholars are selected based on their leadership potential and strong core values,ELR2B2 <= 10 in the GCE 'N' Level exams, Performs well on CCA]}]"
